from,to,day_of_week,count
2585286,2585291,Friday,101
2585394,2585398,Friday,101
2585452,2585939,Friday,101
2585453,2585398,Friday,101
2585788,2585799,Friday,101
2585794,2585785,Friday,101
2585837,2585827,Friday,101
2585285,2585307,Friday,100
2585856,2585860,Friday,100
2586005,2585466,Friday,100
2585346,2585304,Friday,99
2585356,2681601,Friday,99
2585398,2585394,Friday,99
2585762,2585782,Friday,99
2585791,2585804,Friday,99
2585825,2585992,Friday,99
2585825,2586034,Friday,99
2585860,2585432,Friday,99
2585868,2585856,Friday,99
2585932,2585928,Friday,99
2585947,2585942,Friday,99
2585978,2586044,Friday,99
2585984,2585387,Friday,99
2586026,2585344,Friday,99
2681601,2585333,Friday,99
2585289,2585327,Friday,98
2585307,2585285,Friday,98
2585367,2585406,Friday,98
2585381,2585417,Friday,98
2585431,4393742,Friday,98
2585432,2585868,Friday,98
2585794,2585837,Friday,98
2585271,2585267,Friday,97
2585275,2585273,Friday,97
2585419,2585425,Friday,97
2585452,2585928,Friday,97
2585466,2585327,Friday,97
2585928,2585932,Friday,97
2585311,2585321,Friday,96
2585406,2585367,Friday,96
2585804,2585791,Friday,96
2585937,2585939,Friday,96
2586014,2586001,Friday,96
2681601,2585337,Friday,96
2585286,2585283,Friday,95
2585313,2585301,Friday,95
2585344,2586042,Friday,95
2585764,2585762,Friday,95
2585789,2585779,Friday,95
2585938,2585729,Friday,95
2585289,4393742,Friday,94
2585337,2681601,Friday,94
2585387,2585317,Friday,94
2585728,2585747,Friday,94
2585728,2585776,Friday,94
4585378,2585785,Friday,94
2585285,2585305,Friday,93
2585369,2585337,Friday,93
2585408,52488396,Friday,93
2585419,4393742,Friday,93
2585716,2585762,Friday,93
2585846,172294162,Friday,93
2585893,2585901,Friday,93
2585905,2585916,Friday,93
2585990,2585466,Friday,93
2586009,2586011,Friday,93
2585267,2585273,Friday,92
2585317,2585394,Friday,92
2585321,2585311,Friday,92
2585333,2681601,Friday,92
2585394,2585317,Friday,92
2585704,2585430,Friday,92
2585704,2585450,Friday,92
2585708,2585699,Friday,92
2585728,2585789,Friday,92
2585772,2585776,Friday,92
2585774,2585762,Friday,92
2585802,2585804,Friday,92
2585846,2585844,Friday,92
2585905,2585908,Friday,92
2586005,2586021,Friday,92
2681601,2585405,Friday,92
2585267,44583483,Friday,91
2585306,2585311,Friday,91
2585344,2586026,Friday,91
2585776,2585467,Friday,91
2585876,172293631,Friday,91
2585883,2585905,Friday,91
2585921,4393742,Friday,91
2585942,2585947,Friday,91
